isbn,title,author,year
1414334095,Her Daughter's Dream,Francine Rivers,2010
670020559,The Magicians,Lev Grossman,2009
446602213,"Morning, Noon & Night",Sidney Sheldon,1995
345515633,Last to Die,Tess Gerritsen,2012
345460065,The Romanov Prophecy,Steve Berry,2004
61836923,Moonlight Mile ,Dennis Lehane,2010
752860550,Sepulchre,Kate Mosse,2007
1849234752,Rock Chick Rescue,Kristen Ashley,2009
62284835,Fracture Me,Tahereh Mafi,2013
553376055,How I Live Now,Meg Rosoff,2004
743223136,John Adams,David McCullough,2001
312364083,Firefly Lane,Kristin Hannah,2008
439023513,Mockingjay,Suzanne Collins,2010
425067823,Elephants Can Remember,Agatha Christie,1972
758216416,Succubus Blues,Richelle Mead,2007
316024643,Cross Country,James Patterson,2008
142401447,The Pearls of Lutra,Brian Jacques,1996
1416549978,The Broken Window,Jeffery Deaver,2008
413771164,The Truth,Terry Pratchett,2000
1439102414,Flash and Bones,Kathy Reichs,2011
140013083,The Chrysalids,John Wyndham,1955
1620610078,Obsidian,Jennifer L. Armentrout,2011
1250077699,The Sound of Gravel,Ruth Wariner,2016
60744871,The Pursuit of Happyness,Chris Gardner,2006
385333900,Jailbird,Kurt Vonnegut Jr.,1979
60513098,Falling Up,Shel Silverstein,1996
1416975888,Clockwork Prince,Cassandra Clare,2011
345347951,Childhood's End,Arthur C. Clarke,1953
385735294,The Sorceress,Michael Scott,2009
1936305623,Gabriel's Inferno,Sylvain Reynard,2011
60739428,"Catherine, Called Birdy",Karen Cushman,1994
143417231,Can Love Happen Twice?,Ravinder Singh,2011
385342020,Twenties Girl,Sophie Kinsella,2009
345418417,The Ringworld Engineers ,Larry Niven,1979
1423134494,Bloody Valentine,Melissa de la Cruz,2010
553805487,Garden Spells,Sarah Addison Allen,2007
743281640,Chasing Darkness,Robert Crais,2008
316009857,Keeping You a Secret,Julie Anne Peters,2007
812508440,The White Rose,Glen Cook,1985
034525855X,A Spell for Chameleon,Piers Anthony,1977
553813145,Midnight Tides,Steven Erikson,2004
786890754,"PS, I Love You",Cecelia Ahern,2003
60598328,The Saving Graces,Patricia Gaffney,1999
765343436,Daughter of the Forest,Juliet Marillier,1999
515121843,Sea Swept,Nora Roberts,1998
450040186,The Shining,Stephen King,1977
770430074,Life of Pi,Yann Martel,2001
385739141,Torment,Lauren Kate,2010
385542070,Nutshell,Ian McEwan,2016
1423104870,The Wizard Heir,Cinda Williams Chima,2007
692572031,Big Rock,Lauren Blakely,2016
671729454,If There Be Thorns,V.C. Andrews,1981
345503813,The Desert Spear,Peter V. Brett,2010
1101946342,Grey,E.L. James,2015
553804804,Brother Odd,Dean Koontz,2006
61284203,Into the Wild,Erin Hunter,2003
61726834,Delirium,Lauren Oliver,2011
886774268,Magic's Price,Mercedes Lackey,1990
8129115301,Two States,Chetan Bhagat,2009
345418425,Footfall,"Larry Niven, Jerry Pournelle",1985
375706410,Waiting,Ha Jin,1999
1599906953,Throne of Glass,Sarah J. Maas,2012
553805460,The Wolf of Wall Street,Jordan Belfort,2007
425189031,Portrait in Death,J.D. Robb,2003
399150862,The Cove,Catherine Coulter,1996
1590385810,Fablehaven,Brandon Mull,2006
307269760,Too Much Happiness,Alice Munro,2009
671027638,The Fuck-Up,Arthur Nersesian,1997
345481291,Throne of Jade,Naomi Novik,2006
440225442,One False Move,Harlan Coben,1998
312941919,Trunk Music,Michael Connelly,1997
1606841750,Monsters,Ilsa J. Bick,2011
385743602,Calamity,Brandon Sanderson,2016
60935499,Amadeus,Peter Shaffer,1979
446610178,The Sky is Falling,Sidney Sheldon,2000
671578855,A Civil Campaign,Lois McMaster Bujold,1999
425267040,Rush,Maya Banks,2013
316166294,The Brass Verdict,Michael Connelly,2008
1250019672,Ladies' Night ,Mary Kay Andrews,2013
440226708,The Incredible Journey,Sheila Burnford,1960
312554192,Where We Belong,Emily Giffin,2012
804188246,Ruby,Cynthia Bond,2014
1439166641,Galveston,Nic Pizzolatto,2004
515144665,The Pagan Stone,Nora Roberts,2008
749934395,Seduction in Death,J.D. Robb,2001
1937248097,The Duchess War,Courtney Milan,2012
068987121X,"Over Sea, Under Stone",Susan Cooper,1965
425267083,Burn,Maya Banks,2013
812992792,The Orphan Master's Son,Adam Johnson,2012
399162437,The Last Star,Rick Yancey,2016
62317148,The Guard,Kiera Cass,2014
316097527,"Alex Cross, Run",James Patterson,2013
753510995,"Screw It, Let's Do It",Richard Branson,2006
62194720,The Revenge of Seven,Pittacus Lore,2014
140042520,The Dharma Bums,Jack Kerouac,1958
441010288,The Lost Years of Merlin,T.A. Barron,1996
399162593,Fish In A Tree,Lynda Mullaly Hunt,2015
142401102,A Long Way From Chicago,Richard Peck,1998
345313151,Bearing an Hourglass,Piers Anthony,1984
1616149981,The Life We Bury,Allen Eskens,2014
7191324,The Winter Rose,Jennifer Donnelly,2008
399155015,Moscow Rules,Daniel Silva,2008
441627404,The Once and Future King,T.H. White,1958
1933718552,Ashfall,Mike Mullin,2011
140260706,Equus : a play,Peter Shaffer,1973
99549344,Warm Bodies,Isaac Marion,2010
140230270,Harvesting the Heart,Jodi Picoult,1993
61138061,Pale Demon,Kim Harrison,2011
1416505016,Consent to Kill,Vince Flynn,2005
552152951,Reaper Man,Terry Pratchett,1991
1439102724,Sing You Home,Jodi Picoult,2011
312426232,The Brooklyn Follies,Paul Auster,2005
765357054,The Keep ,F. Paul Wilson,1981
067001821X,People of the Book,Geraldine Brooks,2008
1250060559,Fairest,Marissa Meyer,2015
61668060,Spells,Aprilynne Pike,2009
1414336241,The Auschwitz Escape,Joel C. Rosenberg,2014
553589458,The Survivors Club,Lisa Gardner,2002
61094145,Imajica,Clive Barker,1991
446608815,Pop Goes the Weasel,James Patterson,1999
142501107,Lord Brocktree,Brian Jacques,2000
042520992X,Whispers,Dean Koontz,1980
1400033446,Tar Baby,Toni Morrison,1981
141043768,What Alice Forgot,Liane Moriarty,2009
345443284,While I Was Gone,Sue Miller,1998
553392921,Fool's Quest,Robin Hobb,2015
140086838,Ceremony,Leslie Marmon Silko,1977
62235672,On the Fence,Kasie West,2014
64472795,Princess in the Spotlight,Meg Cabot,2001
399256776,Champion,Marie Lu,2013
61692042,Canada,Richard Ford,2012
043933909X,Stone Soup,Jon J. Muth,2003
1442430001,Rebel Heart,Moira Young,2012
307119394,I Was So Mad (Look-Look),Mercer Mayer,1983
756403014,Dragon Prince,Melanie Rawn,1985
395137195,The Bronze Bow,Elizabeth George Speare,1961
147679250X,After We Fell,Anna Todd,2014
316051594,Twenty Boy Summer,Sarah Ockler,2009
340881542,Class A (Cherub #2),Robert Muchamore,2004
1921351438,Dreams from My Father,Barack Obama,1995
61583227,First Drop of Crimson,Jeaniene Frost,2010
1416532358,Ricochet,Sandra Brown,2006
778324516,Back on Blossom Street,Debbie Macomber,2007
1565126297,When She Woke,Hillary Jordan,2011
425099334,Shattered,"K.R. Dwyer, Dean Koontz",1973
451225090,The House On Tradd Street,Karen   White,2008
62280678,Dorothy Must Die,Danielle  Paige,2014
553382616,The Shelters of Stone,Jean M. Auel,2002
60887370,Perfect,Sara Shepard,2007
385733410,Rebel Angels,Libba Bray,2005
312986343,Visions of Sugar Plums,Janet Evanovich,2002
679732268,Light in August,William Faulkner,1932
1892295490,Heart of Darkness,Joseph Conrad,1899
451209435,Fear of Flying,Erica Jong,1973
345454944,Sunset Express,Robert Crais,1996
60548258,The Crystal Cave,Mary  Stewart,1970
031236847X,Sweetheart,Chelsea Cain,2008
688114490,Owen,Kevin Henkes,1993
399154701,Strangers in Death ,J.D. Robb,2008
991686004,Ten Tiny Breaths,K.A. Tucker,2012
1587672286,Blockade Billy,Stephen King,2010
743290119,Chasing Harry Winston,Lauren Weisberger,2008
767912276,To Have and to Hold ,Jane Green,2002
373777922,The Best Man,Kristan Higgins,2013
307595129,Maine,J. Courtney Sullivan,2011
316018953,The Overlook,Michael Connelly,2007
767912241,Babyville,Jane Green,2001
978970764,John Dies at the End,David Wong,2007
380712040,Black Cherry Blues,James Lee Burke,1989
758216424,Succubus On Top,Richelle Mead,2008
312360401,Honolulu,Alan Brennert,2009
142401757,Dreamland ,Sarah Dessen,2000
345505719,Victims,Jonathan Kellerman,2012
316084220,A Midsummer's Nightmare,Kody Keplinger,2012
99578514,Midnight's Children,Salman Rushdie,1981
1250091845,Stars Above,Marissa Meyer,2016
1423140591,The Son of Neptune ,Rick Riordan,2011
055358359X,Prior Bad Acts,Tami Hoag,2006
345484274,Angel Falls,Kristin Hannah,2000
451933028,The Green Mile,Stephen King,1996
553248642,The Haj,Leon Uris,1984
812517725,The Great Hunt,Robert Jordan,1990
142408786,Double Fudge,Judy Blume,2002
1400068320,Eligible,Curtis Sittenfeld,2016
316012823,One Good Turn,Kate Atkinson,2006
451219945,Glass Houses,Rachel Caine,2006
1250022088,The Nature of the Beast,Louise Penny,2015
553282093,The Gemini Contenders,Robert Ludlum,1976
440212812,Lost Souls,Poppy Z. Brite,1992
743454537,My Sister's Keeper,Jodi Picoult,2004
307588920,Think of a Number,John Verdon,2010
375701907,Straight Man,Richard Russo,1997
553277405,Night Probe!,Clive Cussler,1981
373210582,Alice in Zombieland,Gena Showalter,2012
670018708,City of Thieves,David Benioff,2008
425204693,From Potter's Field,Patricia Cornwell,1995
812550706,Ender's Game,Orson Scott Card,1985
743442849,Addicted,Zane,1998
1416509879,A Hunger Like No Other,Kresley Cole,2006
61148512,The Bell Jar,Sylvia Plath,1963
671744216,The Secret,Julie Garwood,1992
375814701,Mastiff,Tamora Pierce,2011
399148701,Red Rabbit,Tom Clancy,2002
1466867507,Cometh the Hour,Jeffrey Archer,2016
743265025,The Starter Wife,Gigi Levangie Grazer,2005
156031566,The Places In Between,Rory Stewart,2004
345335708,Castle of Wizardry,David Eddings,1984
316123404,Surface Detail,Iain M. Banks,2010
739465511,The Lincoln Lawyer ,Michael Connelly,2005
1599904780,Princess of Glass,Jessica Day George,2010
316068047,The Host,Stephenie Meyer,2008
042519485X,Undead and Unwed,MaryJanice Davidson,2004
1411608313,Day by Day Armageddon,J.L. Bourne,2004
345475836,Gateway,Frederik Pohl,1977
552148032,King of the Murgos,David Eddings,1988
144242673X,P.S. I Still Love You,Jenny Han,2015
727853414,Exit to Eden,"Anne Rampling, Anne Rice",1985
310247535,Even Now,Karen Kingsbury,2005
440229081,Skellig,David Almond,1998
330369032,Lucky You,Carl Hiaasen,1991
1451629184,A Stolen Life,Jaycee Dugard,2011
60256656,The Giving Tree,Shel Silverstein,1964
62059939,The Selection,Kiera Cass,2012
140283331,Lord of the Flies ,William Golding,1954
399169520,My Sunshine Away,M.O. Walsh,2015
64473457,Castle in the Air,Diana Wynne Jones,1990
812984277,Wedding Night,Sophie Kinsella,2013
1442409096,Sever,Lauren DeStefano,2013
553295411,Fire Sea,"Margaret Weis, Tracy Hickman",1991
312364423,Night Road,Kristin Hannah,2011
425214435,Eyes of Prey,John Sandford,1991
425213978,Labyrinth,Kate Mosse,2005
1849231842,Rock Chick,Kristen Ashley,2008
7120680,Hallowe'en Party,Agatha Christie,1969
441013813,Moon Called,Patricia Briggs,2006
451461037,Proven Guilty,Jim Butcher,2006
743466527,Fall on Your Knees,Ann-Marie MacDonald,1996
142001821,The Passion of Artemisia,Susan Vreeland,2001
1402262272,Catching Jordan,Miranda Kenneally,2011
1931514607,Paradise Kiss 1,Ai Yazawa,2000
671027581,Open Season,Linda Howard,2001
441172695,Dune Messiah ,Frank Herbert,1969
1401324436,Heat Rises,Richard Castle,2011
743294270,Fly Away Home,Jennifer Weiner,2010
441783589,Starship Troopers,Robert A. Heinlein,1959
1937053164,Apollyon,Jennifer L. Armentrout,2013
067172939X,Dark Angel,V.C. Andrews,1986
006079156X,The Space Between Us,Thrity Umrigar,2006
1402284314,The Paris Architect,Charles Belfoure,2013
385351399,The Circle,Dave Eggers,2013
451224639,Feast of Fools,Rachel Caine,2008
439796636,War Horse,Michael Morpurgo,1982
61433012,Nation,Terry Pratchett,2008
553573764,Mariana,Susanna Kearsley,1994
62430874,Pretty Girls,Karin Slaughter,2015
60786469,Love Medicine,Louise Erdrich,1984
312369506,Devil May Cry,Sherrilyn Kenyon,2007
192076920X,Shantaram,Gregory David Roberts,2003
553266306,The Day of the Jackal,Frederick Forsyth,1971
1857984986,The Stainless Steel Rat,Harry Harrison,1961
552992097,The Hotel New Hampshire,John Irving,1981
679753338,Nobody's Fool,Richard Russo,1993
1414368186,Bridge to Haven,Francine Rivers,2014
61120073,A Tree Grows In Brooklyn ,Betty  Smith,1943
60590319,Fool,Christopher Moore,2009
544303164,The Turner House,Angela Flournoy,2015
000748805X,You Had Me At Hello,Mhairi McFarlane,2012
451458125,Fool Moon ,Jim Butcher,2001
425201449,The Body Farm,Patricia Cornwell,1994
743437314,The Merchant of Death,D.J. MacHale,2002
141014083,The Complete Maus,Art Spiegelman,1986
399154345,High Noon,Nora Roberts,2007
60512148,Angels,Marian Keyes,2002
689846231,The Yearling,Marjorie Kinnan Rawlings,1930
60724552,Party Princess,Meg Cabot,2006
312546564,No Mercy,Sherrilyn Kenyon,2010
023070395X,Rhett Butler's People,Donald McCaig,2007
449221490,L is for Lawless,Sue Grafton,1994
689857705,Rainbow Boys,Alex   Sanchez,2001
446350982,Presumed Innocent,Scott Turow,1986
1400080665,Thunderstruck,Erik Larson,2006
080508052X,The High King ,Lloyd Alexander,1968
1455503258,The Astronaut Wives Club,Lily Koppel,2013
764200119,When Calls the Heart,Janette Oke,1983
60988649,Lost,"Gregory Maguire, Douglas Smith",2001
330369954,Underworld,Don DeLillo,1997
756402697,The Dragonbone Chair,Tad Williams,1988
684853159,The Wasp Factory,Iain Banks,1984
446614459,Split Second,David Baldacci,2003
1442435003,Since You've Been Gone,Morgan Matson,2014
671876465,Mirror Dance,Lois McMaster Bujold,1994
670021474,Angelology,Danielle Trussoni,2010
316074152,Blameless,Gail Carriger,2010
156030373,L'isola del giorno prima,Umberto Eco,1994
142002054,Diamonds are Forever,Ian Fleming,1956
62076116,Up From the Grave ,Jeaniene Frost,2014
1841493341,Singularity Sky,Charles Stross,2003
451217454,Waiting to Exhale,Terry McMillan,1992
1580495869,The Red Badge of Courage,Stephen Crane,1871
1841497975,River Marked,Patricia Briggs,2011
553381342,The Bonfire of the Vanities,Tom Wolfe,1987
345807952,Mad About the Boy,Helen Fielding,2013
765354063,The Ghost Brigades,John Scalzi,2006
441013465,Another Fine Myth,Robert Lynn Asprin,1978
312656289,Heaven,Alexandra Adornetto,2012
441015271,Captain's Fury,Jim Butcher,2007
1416974520,"Night World, No. 3",L.J. Smith,2009
1476731535,Beautiful Stranger,Christina Lauren,2013
345496876,Empire of Ivory,Naomi Novik,2007
039515023X,Curious George,H.A. Rey,1941
64440206,Frog and Toad Are Friends,Arnold Lobel,1970
689865384,Uglies,Scott Westerfeld,2005
553582461,Fool's Fate,Robin Hobb,2003
61138010,"White Witch, Black Curse",Kim Harrison,2009
446604844,Total Control,David Baldacci,1996
449213447,The Chosen,Chaim Potok,1967
684815001,Nachfolge,Dietrich Bonhoeffer,1937
142002070,"From Russia, with Love",Ian Fleming,1957
547152604,Okay for Now,Gary D. Schmidt,2011
375724370,Anil's Ghost,Michael Ondaatje,2000
316036196,Fang,James Patterson,2010
8176210773,You Can Heal Your Life,Louise L. Hay,1984
184243022X,Still Life with Woodpecker,Tom Robbins,1980
1434764338,Waterfall,Lisa Tawn Bergren,2011
1937053148,Deity,Jennifer L. Armentrout,2012
307596850,Girls in White Dresses,Jennifer Close,2011
1500607533,Debt Inheritance,Pepper Winters,2014
553582747,From the Corner of His Eye,Dean Koontz,2000
60959037,Prodigal Summer,Barbara Kingsolver,2000
1560974273,Ghost World,Daniel Clowes,1998
812968972,The Birth of Venus,Sarah Dunant,2003
312934327,Sins of the Night,Sherrilyn Kenyon,2005
399156577,The Search,Nora Roberts,2010
743271327,Brokeback Mountain,Annie Proulx,1997
425198731,Blow Fly,Patricia Cornwell,2003
1439102759,Lone Wolf,Jodi Picoult,2012
61996181,Hallowed,Cynthia Hand,2012
199291152,The Selfish Gene,Richard Dawkins,1976
345496574,The Evolutionary Void,Peter F. Hamilton,2009
451461894,Small Favor,Jim Butcher,2008
575077026,Ringworld,Larry Niven,1970
1594200823,The Omnivore's Dilemma,Michael Pollan,2006
380803267,King of Foxes,Raymond E. Feist,2003
439858054,The Other Side of Dawn,John Marsden,1999
031612611X,The Diviners,Libba Bray,2012
059039696X,Shatterglass,Tamora Pierce,2003
446603775,Dawn,Octavia E. Butler,1987
330418874,Boy Meets Girl,Meg Cabot,2004
99465639,The Grand Sophy,Georgette Heyer,1950
451188462,Desperation,Stephen King,1996
547251270,A Long Walk to Water,Linda Sue Park,2010
671877836,Honor Among Enemies,David Weber,1996
316187712,Heir of Novron,Michael J. Sullivan,2012
440236738,Gone for Good,Harlan Coben,2002
385341962,Genesis,Karin Slaughter,2009
689840926,Hatchet,Gary Paulsen,1986
441017150,Dead and Gone,Charlaine Harris,2009
312370156,The Compound,S.A. Bodeen,2008
763655988,I Want My Hat Back,Jon Klassen,2011
60838728,Bel Canto,Ann Patchett,2001
718154959,Blue Monday,Nicci French,2011
743294386,Devil Bones,Kathy Reichs,2008
1414310560,The Negotiator,Dee Henderson,2000
061870986X,In the Lake of the Woods,Tim O'Brien,1994
034553364X,Trapped ,Kevin Hearne,2012
743299841,Day After Night,Anita Diamant,2009
399155341,The Help,Kathryn Stockett,2009
451463722,Mercy Blade,Faith Hunter,2011
1573226521,The Beach,Alex Garland,1996
1250014522,Calling Me Home,Julie Kibler,2012
803738552,Counting by 7s,Holly Goldberg Sloan,2013
142000655,East of Eden  ,John Steinbeck,1952
385341636,Faefever,Karen Marie Moning,2008
670061050,Just Listen,Sarah Dessen,2006
312424094,Housekeeping,Marilynne Robinson,1980
141439882,Cranford,Elizabeth Gaskell,1853
451211472,Night over Water,Ken Follett,1991
61767581,L.A. Candy,Lauren Conrad,2009
553582933,Winter Moon,Dean Koontz,1993
446500038,Kushiel's Justice,Jacqueline Carey,2007
590554115,Briar's Book,Tamora Pierce,1999
425241505,Dragon bound,Thea Harrison,2011
393318486,How the Mind Works,Steven Pinker,1997
385732554,The Giver,Lois Lowry,1993
743453964,Executive Power,Vince Flynn,2003
743269268,The Virgin's Lover,Philippa Gregory,2004
425270696,Magic Binds,Ilona Andrews,2016
440975344,Rumble Fish,S.E. Hinton,1975
60608528,Gemeinsames Leben,Dietrich Bonhoeffer,1939
525953507,The Stranger,Harlan Coben,2015
671042572,Jewel (Oprah's Book Club) ,Bret Lott,1991
679879242,Northern Lights,Philip Pullman,1995
316043893,The Castaways,Elin Hilderbrand,2009
676977731,The Birth House,Ami McKay,2006
7158475,Fox in Socks,Dr. Seuss,1965
345544927,Leaving Time,Jodi Picoult,2014
009959241X,The Moor's Last Sigh,Salman Rushdie,1995
330311735,One,Richard Bach,1988
